pd_area = 6.361e-05
 wl(nm)  cal_pd_sens(A/W)   pd_ratio
 310.0      0.13820         2.126e+02
 320.0      0.14370         2.138e+02
 330.0      0.14710         2.152e+02
 340.0      0.14940         2.162e+02
 350.0      0.15070         2.172e+02
 360.0      0.14740         2.192e+02
 370.0      0.14770         2.221e+02
 380.0      0.15870         2.240e+02
 390.0      0.17170         2.731e+02
 400.0      0.18260         2.674e+02
 410.0      0.19180         2.743e+02
 420.0      0.20040         2.722e+02
 430.0      0.20810         2.622e+02
 440.0      0.21560         2.558e+02
 450.0      0.22260         2.597e+02
 460.0      0.22940         2.542e+02
 470.0      0.23600         4.492e+02
 480.0      0.24250         4.003e+02
 490.0      0.24880         3.587e+02
 500.0      0.25500         2.274e+02
 510.0      0.26120         2.276e+02
 520.0      0.26720         2.275e+02
 530.0      0.27320         2.272e+02
 540.0      0.27920         2.272e+02
 550.0      0.28510         2.272e+02
 560.0      0.29100         2.271e+02
 570.0      0.29680         2.270e+02
 580.0      0.30260         3.793e+02
 590.0      0.30830         3.961e+02
 600.0      0.31410         3.749e+02
 610.0      0.31980         3.620e+02
 620.0      0.32540         4.199e+02
 630.0      0.33110         3.232e+02
 640.0      0.33670         3.581e+02
 650.0      0.34230         3.667e+02
 660.0      0.34790         2.907e+02
 670.0      0.35350         3.117e+02
 680.0      0.35900         3.102e+02
 690.0      0.36460         2.251e+02
 700.0      0.37020         2.237e+02
 710.0      0.37570         2.219e+02
 720.0      0.38120         2.203e+02
 730.0      0.38670         2.183e+02
 740.0      0.39220         2.164e+02
 750.0      0.39770         2.147e+02
 760.0      0.40320         2.136e+02
 770.0      0.40870         2.127e+02
 780.0      0.41420         2.123e+02
 790.0      0.41970         2.121e+02
 800.0      0.42520         3.201e+02
 810.0      0.43070         3.180e+02
 820.0      0.43600         3.676e+46
 830.0      0.44150         7.209e+44
 840.0      0.44700         3.365e+02
 850.0      0.45240         3.749e+02
 860.0      0.45780         3.617e+02
 870.0      0.46320         3.306e+02
 880.0      0.46870         3.123e+46
 890.0      0.47400         2.627e+02
 900.0      0.47940         2.208e+02
 910.0      0.48470         2.121e+02
 920.0      0.49000         6.765e+45
 930.0      0.49510         2.124e+02
 940.0      0.49990         2.124e+02
 950.0      0.50390         2.120e+02
 960.0      0.50800         2.117e+02
 970.0      0.50800         2.112e+02
 980.0      0.50800         1.923e+46
 990.0      0.50400         2.337e+46
 1000.0      0.49600         2.079e+02
 1010.0      0.48200         2.701e+02
 1020.0      0.46000         2.712e+02
 1030.0      0.43000         2.630e+02
 1040.0      0.39000         2.605e+02
 1050.0      0.34300         2.284e+02
 1060.0      0.29000         2.280e+02
 1070.0      0.24600         2.190e+02
 1080.0      0.20900         2.079e+02
 1090.0      0.17500         2.036e+02
 1100.0      0.14300         2.026e+02
