pd_area = 6.319e-05
 wl(nm)  cal_pd_sens(A/W)   pd_ratio
 300.0      0.13097         3.030e+02
 305.0      0.13501         3.024e+02
 310.0      0.13900         3.021e+02
 315.0      0.14050         3.009e+02
 320.0      0.14201         3.004e+02
 325.0      0.14550         3.006e+02
 330.0      0.14900         2.991e+02
 335.0      0.15149         2.984e+02
 340.0      0.15400         2.982e+02
 345.0      0.15350         2.977e+02
 350.0      0.14980         2.973e+02
 355.0      0.14900         2.980e+02
 360.0      0.14620         2.973e+02
 365.0      0.14500         2.994e+02
 370.0      0.14612         2.996e+02
 375.0      0.15100         3.000e+02
 380.0      0.15767         3.012e+02
 385.0      0.16460         3.009e+02
 390.0      0.17080         3.008e+02
 395.0      0.17630         3.002e+02
 400.0      0.18172         3.022e+02
 405.0      0.18661         3.025e+02
 410.0      0.19101         3.019e+02
 415.0      0.19530         3.021e+02
 420.0      0.19949         3.022e+02
 425.0      0.20350         3.026e+02
 430.0      0.20732         3.030e+02
 435.0      0.21139         3.029e+02
 440.0      0.21490         3.032e+02
 445.0      0.21850         3.021e+02
 450.0      0.22189         3.029e+02
 455.0      0.22529         3.032e+02
 460.0      0.22891         3.030e+02
 465.0      0.23209         3.022e+02
 470.0      0.23550         3.033e+02
 475.0      0.23871         3.029e+02
 480.0      0.24201         3.027e+02
 485.0      0.24521         3.025e+02
 490.0      0.24831         3.031e+02
 495.0      0.25150         3.032e+02
 500.0      0.25459         3.029e+02
 505.0      0.25770         3.040e+02
 510.0      0.26071         3.037e+02
 515.0      0.26381         3.034e+02
 520.0      0.26681         3.024e+02
 525.0      0.26991         3.026e+02
 530.0      0.27280         3.033e+02
 535.0      0.27581         3.038e+02
 540.0      0.27879         3.038e+02
 545.0      0.28180         3.041e+02
 550.0      0.28470         3.039e+02
 555.0      0.28769         3.037e+02
 560.0      0.29059         3.035e+02
 565.0      0.29350         3.037e+02
 570.0      0.29640         3.029e+02
 575.0      0.29930         3.017e+02
 580.0      0.30220         3.025e+02
 585.0      0.30511         3.045e+02
 590.0      0.30801         3.044e+02
 595.0      0.31089         3.044e+02
 600.0      0.31370         3.050e+02
 605.0      0.31660         3.048e+02
 610.0      0.31940         3.048e+02
 615.0      0.32230         3.043e+02
 620.0      0.32511         3.043e+02
 625.0      0.32799         3.046e+02
 630.0      0.33079         3.046e+02
 635.0      0.33359         3.059e+02
 640.0      0.33639         3.066e+02
 645.0      0.33920         3.050e+02
 650.0      0.34201         3.059e+02
 655.0      0.34480         3.045e+02
 660.0      0.34760         3.041e+02
 665.0      0.35041         3.050e+02
 670.0      0.35319         3.057e+02
 675.0      0.35600         3.054e+02
 680.0      0.35880         3.065e+02
 685.0      0.36159         3.064e+02
 690.0      0.36441         3.061e+02
 695.0      0.36719         3.068e+02
 700.0      0.36990         3.063e+02
 705.0      0.37279         3.063e+02
 710.0      0.37551         3.070e+02
 715.0      0.37830         3.068e+02
 720.0      0.38110         3.075e+02
 725.0      0.38380         3.067e+02
 730.0      0.38659         3.068e+02
 735.0      0.38930         3.073e+02
 740.0      0.39211         3.074e+02
 745.0      0.39491         3.074e+02
 750.0      0.39759         3.073e+02
 755.0      0.40041         3.073e+02
 760.0      0.40311         3.074e+02
 765.0      0.40590         3.081e+02
 770.0      0.40869         3.077e+02
 775.0      0.41140         3.076e+02
 780.0      0.41420         3.080e+02
 785.0      0.41689         3.076e+02
 790.0      0.41960         3.081e+02
 795.0      0.42241         3.085e+02
 800.0      0.42510         3.087e+02
 805.0      0.42789         3.091e+02
 810.0      0.43060         3.079e+02
 815.0      0.43329         3.091e+02
 820.0      0.43601         3.085e+02
 825.0      0.43879         3.091e+02
 830.0      0.44149         3.094e+02
 835.0      0.44431         3.093e+02
 840.0      0.44699         3.094e+02
 845.0      0.44969         3.090e+02
 850.0      0.45241         3.097e+02
 855.0      0.45509         3.093e+02
 860.0      0.45779         3.114e+02
 865.0      0.46051         3.093e+02
 870.0      0.46329         3.098e+02
 875.0      0.46601         3.098e+02
 880.0      0.46860         3.102e+02
 885.0      0.47140         3.104e+02
 890.0      0.47390         3.101e+02
 895.0      0.47671         3.106e+02
 900.0      0.47931         3.100e+02
 905.0      0.48200         3.106e+02
 910.0      0.48451         3.109e+02
 915.0      0.48721         3.107e+02
 920.0      0.48980         3.106e+02
 925.0      0.49230         3.106e+02
 930.0      0.49460         3.112e+02
 935.0      0.49700         3.129e+02
 940.0      0.49910         3.129e+02
 945.0      0.50100         3.130e+02
 950.0      0.50280         3.125e+02
 955.0      0.50500         3.126e+02
 960.0      0.50700         3.110e+02
 965.0      0.50700         3.112e+02
 970.0      0.50700         3.118e+02
 975.0      0.50600         3.127e+02
 980.0      0.50400         3.134e+02
 985.0      0.50199         3.135e+02
 990.0      0.49801         3.143e+02
 995.0      0.49199         3.149e+02
 1000.0      0.48501         3.149e+02
 1005.0      0.47598         3.166e+02
 1010.0      0.46502         3.171e+02
 1015.0      0.45197         3.178e+02
 1020.0      0.43600         3.191e+02
 1025.0      0.41900         3.205e+02
 1030.0      0.39904         3.227e+02
 1035.0      0.37695         3.240e+02
 1040.0      0.35295         3.258e+02
 1045.0      0.32705         3.284e+02
 1050.0      0.30105         3.308e+02
 1055.0      0.27300         3.332e+02
 1060.0      0.24406         3.359e+02
 1065.0      0.21900         3.361e+02
 1070.0      0.19996         3.371e+02
 1075.0      0.18197         3.381e+02
 1080.0      0.16503         3.409e+02
 1085.0      0.14997         3.425e+02
 1090.0      0.13497         3.434e+02
 1095.0      0.12103         3.433e+02
 1100.1      0.10800         3.438e+02
