######################################################################
# Flux calibration file: fluxcal_20140529150721.txt
# Date: 20140529
# Time: 15:07:21
# Target flux =  5000.00
# System Gain =     2.50 e-/DN
# Exposure Limits =     2.00      60.00
# Lamp Manufacturer = Newport
# Lamp Model = 699xx
# Lamp bulb hours = 339.0
# Last calibration file: fluxcal_20140529112656.txt
######################################################################
command    wl     flux       signal    exptime   previous    % change
-------   ----  ----------  ----------  -------  ----------  --------
fluxcal    320        5.93      355.89    60.00       11.31    -47.56
fluxcal    325        5.93      355.50    60.00       11.37    -47.89
fluxcal    330        6.00      360.04    60.00        9.04    -33.62
fluxcal    335        6.02      361.47    60.00        6.10     -1.24
fluxcal    340        6.12      367.07    60.00        6.23     -1.80
fluxcal    345        6.24      374.36    60.00        6.37     -2.05
fluxcal    350        6.30      378.28    60.00        6.48     -2.71
fluxcal    355        6.42      384.94    60.00        6.63     -3.23
fluxcal    360        6.58      394.68    60.00        6.81     -3.41
fluxcal    365        6.80      407.89    60.00        7.08     -3.98
fluxcal    370        7.12      427.05    60.00        7.40     -3.82
fluxcal    375        7.52      451.10    60.00        7.85     -4.23
fluxcal    380        8.13      487.79    60.00        8.46     -3.90
fluxcal    385        9.14      548.44    60.00        9.28     -1.50
fluxcal    390       10.24      614.67    60.00       10.35     -1.02
fluxcal    395       11.47      688.19    60.00       11.81     -2.88
fluxcal    400       13.15      789.23    60.00       13.59     -3.21
fluxcal    405       15.24      914.38    60.00       15.75     -3.24
fluxcal    410       18.02     1081.41    60.00       18.63     -3.26
fluxcal    415       21.66     1299.79    60.00       22.31     -2.90
fluxcal    420       26.62     1597.05    60.00       27.39     -2.82
fluxcal    425       36.49     2189.66    60.00       37.36     -2.32
fluxcal    430       71.69     4301.41    60.00       72.96     -1.74
fluxcal    435      250.10     4911.58    19.64      254.60     -1.77
fluxcal    440      701.66     4910.18     7.00      714.49     -1.80
fluxcal    445     1218.23     4916.25     4.04     1238.98     -1.67
fluxcal    450     1515.58     4917.46     3.24     1541.02     -1.65
fluxcal    455     1510.41     4924.80     3.26     1533.47     -1.50
fluxcal    460     1634.87     4922.79     3.01     1660.51     -1.54
fluxcal    465     1789.93     4920.30     2.75     1818.92     -1.59
fluxcal    470     1952.38     4915.14     2.52     1986.09     -1.70
fluxcal    475     2137.82     4915.09     2.30     2174.75     -1.70
fluxcal    480     2351.42     4914.80     2.09     2392.18     -1.70
fluxcal    485     2567.83     5135.66     2.00     2612.28     -1.70
fluxcal    490     2767.19     5534.39     2.00     2814.48     -1.68
fluxcal    495     2932.74     5865.48     2.00     2983.48     -1.70
fluxcal    500     3081.34     6162.69     2.00     3132.62     -1.64
fluxcal    505     3239.50     6478.99     2.00     3292.27     -1.60
fluxcal    510     3411.78     6823.57     2.00     3475.73     -1.84
fluxcal    515     3613.99     7227.99     2.00     3670.00     -1.53
fluxcal    520     3813.32     7626.65     2.00     3884.46     -1.83
fluxcal    525     3990.73     7981.45     2.00     4058.10     -1.66
fluxcal    530     4125.46     8250.92     2.00     4195.54     -1.67
fluxcal    535     4236.46     8472.92     2.00     4309.99     -1.71
fluxcal    540     4363.13     8726.25     2.00     4438.80     -1.70
fluxcal    545     4528.28     9056.56     2.00     4601.58     -1.59
fluxcal    550     4707.43     9414.86     2.00     4781.56     -1.55
fluxcal    555     4890.58     9781.15     2.00     4962.99     -1.46
fluxcal    560     5042.84    10085.67     2.00     5120.25     -1.51
fluxcal    565     5152.92    10305.83     2.00     5226.89     -1.42
fluxcal    570     5233.68    10467.36     2.00     5312.77     -1.49
fluxcal    575     5325.15    10650.30     2.00     5408.43     -1.54
fluxcal    580     5435.13    10870.25     2.00     5513.20     -1.42
fluxcal    585     5558.52    11117.05     2.00     5641.97     -1.48
fluxcal    590     5691.72    11383.44     2.00     5769.38     -1.35
fluxcal    595     5810.70    11621.39     2.00     5892.33     -1.39
fluxcal    600     5914.94    11829.88     2.00     5991.63     -1.28
fluxcal    605     5985.89    11971.78     2.00     6063.43     -1.28
fluxcal    610     6035.07    12070.14     2.00     6118.29     -1.36
fluxcal    615     6092.45    12184.91     2.00     6174.48     -1.33
fluxcal    620     6170.53    12341.07     2.00     6244.27     -1.18
fluxcal    625     6226.31    12452.62     2.00     6319.71     -1.48
fluxcal    630     6541.75    13083.51     2.00     6400.08      2.21
fluxcal    635     6479.52    12959.04     2.00     6469.47      0.16
fluxcal    640     6647.65    13295.30     2.00     6530.39      1.80
fluxcal    645     6638.62    13277.25     2.00     6579.56      0.90
fluxcal    650     6748.08    13496.15     2.00     6623.46      1.88
fluxcal    655     6745.07    13490.14     2.00     6648.11      1.46
fluxcal    660     6822.25    13644.51     2.00     6731.01      1.36
fluxcal    665     7022.47    14044.93     2.00     6928.41      1.36
fluxcal    670     7175.25    14350.50     2.00     7108.23      0.94
fluxcal    675     7328.66    14657.32     2.00     7256.59      0.99
fluxcal    680     7406.28    14812.56     2.00     7373.39      0.45
fluxcal    685     7495.54    14991.08     2.00     7449.91      0.61
fluxcal    690     7550.69    15101.39     2.00     7484.80      0.88
fluxcal    695     7552.54    15105.07     2.00     7488.49      0.86
fluxcal    700     7525.97    15051.95     2.00     7478.08      0.64
fluxcal    705     7464.91    14929.81     2.00     7452.57      0.17
fluxcal    710     7463.92    14927.84     2.00     7430.73      0.45
fluxcal    715     7478.02    14956.04     2.00     7402.47      1.02
fluxcal    720     7445.80    14891.60     2.00     7371.20      1.01
fluxcal    725     7396.41    14792.81     2.00     7338.26      0.79
fluxcal    730     7304.25    14608.49     2.00     7294.73      0.13
fluxcal    735     7285.65    14571.29     2.00     7243.24      0.59
fluxcal    740     7167.07    14334.13     2.00     7177.96     -0.15
fluxcal    745     7125.62    14251.24     2.00     7094.70      0.44
fluxcal    750     7033.14    14066.28     2.00     6994.68      0.55
fluxcal    755     6823.32    13646.65     2.00     6705.95      1.75
fluxcal    760     6707.88    13415.75     2.00     6599.44      1.64
fluxcal    765     6579.23    13158.46     2.00     6481.02      1.52
fluxcal    770     6448.23    12896.46     2.00     6364.73      1.31
fluxcal    775     6260.65    12521.30     2.00     6220.53      0.64
fluxcal    780     6119.57    12239.14     2.00     6066.18      0.88
fluxcal    785     5994.42    11988.84     2.00     5947.31      0.79
fluxcal    790     5874.48    11748.96     2.00     5848.41      0.45
fluxcal    795     5816.70    11633.40     2.00     5775.86      0.71
fluxcal    800     5762.45    11524.89     2.00     5730.62      0.56
fluxcal    805     5708.69    11417.38     2.00     5686.68      0.39
fluxcal    810     5668.57    11337.14     2.00     5643.31      0.45
fluxcal    815     5615.86    11231.73     2.00     5589.11      0.48
fluxcal    820     5552.12    11104.24     2.00     5530.56      0.39
fluxcal    825     5489.87    10979.73     2.00     5471.76      0.33
fluxcal    830     5436.54    10873.08     2.00     5424.32      0.23
fluxcal    835     5401.03    10802.05     2.00     5396.62      0.08
fluxcal    840     5398.89    10797.79     2.00     5396.65      0.04
fluxcal    845     5412.92    10825.84     2.00     5420.08     -0.13
fluxcal    850     5482.65    10965.30     2.00     5473.28      0.17
fluxcal    855     5556.05    11112.09     2.00     5551.18      0.09
fluxcal    860     5636.78    11273.56     2.00     5641.22     -0.08
